run_accession	total_bases	total_spots	isolate	collection_date	geo_loc_name	host	biosample	library_strategy	library_selection	platform	instrument	bioproject	host_category
SRR31821228	74800292	252697	24-037225-031	2024	USA	CATTLE	SAMN45953583	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821229	109084402	368586	24-037225-030	2024	USA	CATTLE	SAMN45953582	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821230	102664050	349501	24-037225-029	2024	USA	CATTLE	SAMN45953581	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821231	89483713	303158	24-037225-028	2024	USA	CATTLE	SAMN45953580	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821232	62198046	209908	24-037225-027	2024	USA	CATTLE	SAMN45953579	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821233	87207103	295924	24-037225-026	2024	USA	CATTLE	SAMN45953578	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821234	49832943	168364	24-037225-025	2024	USA	CATTLE	SAMN45953577	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821235	54441985	183867	24-037225-024	2024	USA	CATTLE	SAMN45953576	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31821236	136469855	461940	24-037225-022	2024	USA	CATTLE	SAMN45953575	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
SRR31820793	325781185	1107174	24-036369-002	2024	USA	CATTLE	SAMN45953215	WGS	RANDOM	ILLUMINA	NextSeq 2000	PRJNA1102327	cattle
